City,Date,Target,Type,Real,Mkt,Ours,Edge,Signal,Result,Correct,P&L
Lucknow,2026-04-15,43°C,exact_c,39.8°C,0.018,0.02,0.002,SKIP,NO,,0.0
Lucknow,2026-04-15,46°C,exact_c,39.8°C,0.013,0.02,0.007,SKIP,NO,,0.0
Shanghai,2026-04-15,11°C,exact_c,20.2°C,0.065,0.02,-0.045,SKIP,NO,,0.0
Shanghai,2026-04-15,14°C,exact_c,20.2°C,0.165,0.02,-0.145,BUY NO,NO,True,16.5
Shanghai,2026-04-15,16°C,exact_c,20.2°C,0.013,0.02,0.007,SKIP,NO,,0.0
Shanghai,2026-04-15,17°C,exact_c,20.2°C,0.028,0.02,-0.007,SKIP,NO,,0.0
Shanghai,2026-04-15,18°C,exact_c,20.2°C,0.14,0.02,-0.12,BUY NO,NO,True,14.0
Shanghai,2026-04-15,19°C,exact_c,20.2°C,0.395,0.1,-0.295,BUY NO,NO,True,39.5
Shanghai,2026-04-15,20°C,gte_c,20.2°C,0.44,0.6,0.16,BUY YES,YES,True,56.0
Austin,2026-04-15,80°F,gte_f,29.1°C,0.97,0.95,-0.02,SKIP,YES,,0.0
Singapore,2026-04-15,26°C,exact_c,29.6°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Singapore,2026-04-15,27°C,exact_c,29.6°C,0.015,0.02,0.005,SKIP,NO,,0.0
Singapore,2026-04-15,28°C,exact_c,29.6°C,0.011,0.02,0.009,SKIP,NO,,0.0
Singapore,2026-04-15,29°C,exact_c,29.6°C,0.051,0.1,0.05,SKIP,NO,,0.0
Singapore,2026-04-15,30°C,exact_c,29.6°C,0.33,0.9,0.57,BUY YES,YES,True,67.0
Singapore,2026-04-15,31°C,exact_c,29.6°C,0.36,0.1,-0.26,BUY NO,NO,True,36.0
Singapore,2026-04-15,32°C,exact_c,29.6°C,0.235,0.02,-0.215,BUY NO,NO,True,23.5
Singapore,2026-04-15,33°C,exact_c,29.6°C,0.066,0.02,-0.046,SKIP,NO,,0.0
