timestamp,market_title,city,date,target_temp,forecast_temp,market_prob,our_prob,edge,signal,stake,entry_price,market_url,status,result,pnl
2026-04-17T21:46:30.937233,Will the highest temperature in Munich be 14°C on April 19?,Munich,2026-04-19,14°C,15.9,0.2,0.02,-0.18000000000000002,BUY NO,205.00000000000006,0.18000000000000002,https://polymarket.com/event/highest-temperature-in-munich-on-april-19-2026,pending,,0
2026-04-17T21:46:30.937819,Will the highest temperature in Munich be 15°C on April 19?,Munich,2026-04-19,15°C,15.9,0.285,0.1,-0.18499999999999997,BUY NO,128.27830188679255,0.26499999999999996,https://polymarket.com/event/highest-temperature-in-munich-on-april-19-2026,pending,,0
2026-04-17T21:46:30.938357,Will the highest temperature in Munich be 16°C on April 19?,Munich,2026-04-19,16°C,15.9,0.215,0.9,0.685,BUY YES,52.6062091503268,0.235,https://polymarket.com/event/highest-temperature-in-munich-on-april-19-2026,pending,,0
2026-04-17T21:46:32.134764,Will the highest temperature in Sao Paulo be 27°C on April 19?,Sao Paulo,2026-04-19,27°C,27.3,0.26,0.9,0.64,BUY YES,62.22222222222223,0.28,https://polymarket.com/event/highest-temperature-in-sao-paulo-on-april-19-2026,pending,,0
2026-04-17T21:46:32.135567,Will the highest temperature in Sao Paulo be 28°C on April 19?,Sao Paulo,2026-04-19,28°C,27.3,0.285,0.1,-0.18499999999999997,BUY NO,128.27830188679255,0.26499999999999996,https://polymarket.com/event/highest-temperature-in-sao-paulo-on-april-19-2026,pending,,0
2026-04-17T21:46:32.135834,Will the highest temperature in Sao Paulo be 29°C on April 19?,Sao Paulo,2026-04-19,29°C,27.3,0.28,0.02,-0.26,BUY NO,185.00000000000003,0.26,https://polymarket.com/event/highest-temperature-in-sao-paulo-on-april-19-2026,pending,,0
2026-04-17T21:46:33.238788,Will the highest temperature in Buenos Aires be 22°C on April 19?,Buenos Aires,2026-04-19,22°C,22.1,0.11,0.9,0.79,BUY YES,29.511494252873568,0.13,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-19-2026,pending,,0
2026-04-17T21:46:33.239540,Will the highest temperature in Buenos Aires be 23°C on April 19?,Buenos Aires,2026-04-19,23°C,22.1,0.175,0.1,-0.07499999999999998,BUY NO,102.21774193548382,0.155,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-19-2026,pending,,0
2026-04-17T21:46:33.239861,Will the highest temperature in Buenos Aires be 24°C on April 19?,Buenos Aires,2026-04-19,24°C,22.1,0.23,0.02,-0.21000000000000002,BUY NO,197.5000000000001,0.21000000000000002,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-19-2026,pending,,0
2026-04-17T21:46:33.239997,Will the highest temperature in Buenos Aires be 25°C on April 19?,Buenos Aires,2026-04-19,25°C,22.1,0.29,0.02,-0.26999999999999996,BUY NO,182.50000000000003,0.26999999999999996,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-19-2026,pending,,0
2026-04-17T21:46:33.240105,Will the highest temperature in Buenos Aires be 26°C on April 19?,Buenos Aires,2026-04-19,26°C,22.1,0.175,0.02,-0.155,BUY NO,211.24999999999994,0.155,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-19-2026,pending,,0
2026-04-17T21:46:33.788632,Will the highest temperature in Moscow be 4°C on April 19?,Moscow,2026-04-19,4°C,6.2,0.185,0.02,-0.165,BUY NO,208.7499999999999,0.165,https://polymarket.com/event/highest-temperature-in-moscow-on-april-19-2026,pending,,0
2026-04-17T21:46:33.789264,Will the highest temperature in Moscow be 5°C on April 19?,Moscow,2026-04-19,5°C,6.2,0.255,0.1,-0.155,BUY NO,126.14361702127658,0.23500000000000001,https://polymarket.com/event/highest-temperature-in-moscow-on-april-19-2026,pending,,0
2026-04-17T21:46:33.789714,Will the highest temperature in Moscow be 6°C on April 19?,Moscow,2026-04-19,6°C,6.2,0.255,0.9,0.645,BUY YES,61.16379310344828,0.275,https://polymarket.com/event/highest-temperature-in-moscow-on-april-19-2026,pending,,0
